char_idx,char,top_left_x,top_left_y,width,height,char_idx_in_line,line_idx,page,word_idx,word_idx_in_line,word,question_image_version
0,C,83.0,90.0,14,31,0,0,question_07111,0,0,Ce,question_images_version_1
1,e,97.0,90.0,14,31,1,0,question_07111,0,0,Ce,question_images_version_1
2, ,111.0,90.0,14,31,2,0,question_07111,0,0,,question_images_version_1
3,p,125.0,90.0,14,31,3,0,question_07111,1,1,purta,question_images_version_1
4,u,139.0,90.0,14,31,4,0,question_07111,1,1,purta,question_images_version_1
5,r,153.0,90.0,14,31,5,0,question_07111,1,1,purta,question_images_version_1
6,t,167.0,90.0,14,31,6,0,question_07111,1,1,purta,question_images_version_1
7,a,181.0,90.0,14,31,7,0,question_07111,1,1,purta,question_images_version_1
8, ,195.0,90.0,14,31,8,0,question_07111,1,1,,question_images_version_1
9,c,209.0,90.0,14,31,9,0,question_07111,2,2,călătorul,question_images_version_1
10,ă,223.0,90.0,14,31,10,0,question_07111,2,2,călătorul,question_images_version_1
11,l,237.0,90.0,14,31,11,0,question_07111,2,2,călătorul,question_images_version_1
12,ă,251.0,90.0,14,31,12,0,question_07111,2,2,călătorul,question_images_version_1
13,t,265.0,90.0,14,31,13,0,question_07111,2,2,călătorul,question_images_version_1
14,o,279.0,90.0,14,31,14,0,question_07111,2,2,călătorul,question_images_version_1
15,r,293.0,90.0,14,31,15,0,question_07111,2,2,călătorul,question_images_version_1
16,u,307.0,90.0,14,31,16,0,question_07111,2,2,călătorul,question_images_version_1
17,l,321.0,90.0,14,31,17,0,question_07111,2,2,călătorul,question_images_version_1
18, ,335.0,90.0,14,31,18,0,question_07111,2,2,,question_images_version_1
19,c,349.0,90.0,14,31,19,0,question_07111,3,3,când,question_images_version_1
20,â,363.0,90.0,14,31,20,0,question_07111,3,3,când,question_images_version_1
21,n,377.0,90.0,14,31,21,0,question_07111,3,3,când,question_images_version_1
22,d,391.0,90.0,14,31,22,0,question_07111,3,3,când,question_images_version_1
23, ,405.0,90.0,14,31,23,0,question_07111,3,3,,question_images_version_1
24,s,419.0,90.0,14,31,24,0,question_07111,4,4,s-a,question_images_version_1
25,-,433.0,90.0,14,31,25,0,question_07111,4,4,s-a,question_images_version_1
26,a,447.0,90.0,14,31,26,0,question_07111,4,4,s-a,question_images_version_1
27, ,461.0,90.0,14,31,27,0,question_07111,4,4,,question_images_version_1
28,î,475.0,90.0,14,31,28,0,question_07111,5,5,întâlnit,question_images_version_1
29,n,489.0,90.0,14,31,29,0,question_07111,5,5,întâlnit,question_images_version_1
30,t,503.0,90.0,14,31,30,0,question_07111,5,5,întâlnit,question_images_version_1
31,â,517.0,90.0,14,31,31,0,question_07111,5,5,întâlnit,question_images_version_1
32,l,531.0,90.0,14,31,32,0,question_07111,5,5,întâlnit,question_images_version_1
33,n,545.0,90.0,14,31,33,0,question_07111,5,5,întâlnit,question_images_version_1
34,i,559.0,90.0,14,31,34,0,question_07111,5,5,întâlnit,question_images_version_1
35,t,573.0,90.0,14,31,35,0,question_07111,5,5,întâlnit,question_images_version_1
36, ,587.0,90.0,14,31,36,0,question_07111,5,5,,question_images_version_1
37,p,601.0,90.0,14,31,37,0,question_07111,6,6,prima,question_images_version_1
38,r,615.0,90.0,14,31,38,0,question_07111,6,6,prima,question_images_version_1
39,i,629.0,90.0,14,31,39,0,question_07111,6,6,prima,question_images_version_1
40,m,643.0,90.0,14,31,40,0,question_07111,6,6,prima,question_images_version_1
41,a,657.0,90.0,14,31,41,0,question_07111,6,6,prima,question_images_version_1
42, ,671.0,90.0,14,31,42,0,question_07111,6,6,,question_images_version_1
43,d,685.0,90.0,14,31,43,0,question_07111,7,7,dată,question_images_version_1
44,a,699.0,90.0,14,31,44,0,question_07111,7,7,dată,question_images_version_1
45,t,713.0,90.0,14,31,45,0,question_07111,7,7,dată,question_images_version_1
46,ă,727.0,90.0,14,31,46,0,question_07111,7,7,dată,question_images_version_1
47, ,741.0,90.0,14,31,47,0,question_07111,7,7,,question_images_version_1
48,c,755.0,90.0,14,31,48,0,question_07111,8,8,cu,question_images_version_1
49,u,769.0,90.0,14,31,49,0,question_07111,8,8,cu,question_images_version_1
50, ,783.0,90.0,14,31,50,0,question_07111,8,8,,question_images_version_1
51,V,797.0,90.0,14,31,51,0,question_07111,9,9,Vântul,question_images_version_1
