char_idx,char,top_left_x,top_left_y,width,height,char_idx_in_line,line_idx,page,word_idx,word_idx_in_line,word,question_image_version
0,C,83.0,90.0,14,31,0,0,question_13121,0,0,Care,question_images_version_1
1,a,97.0,90.0,14,31,1,0,question_13121,0,0,Care,question_images_version_1
2,r,111.0,90.0,14,31,2,0,question_13121,0,0,Care,question_images_version_1
3,e,125.0,90.0,14,31,3,0,question_13121,0,0,Care,question_images_version_1
4, ,139.0,90.0,14,31,4,0,question_13121,0,0,,question_images_version_1
5,e,153.0,90.0,14,31,5,0,question_13121,1,1,este,question_images_version_1
6,s,167.0,90.0,14,31,6,0,question_13121,1,1,este,question_images_version_1
7,t,181.0,90.0,14,31,7,0,question_13121,1,1,este,question_images_version_1
8,e,195.0,90.0,14,31,8,0,question_13121,1,1,este,question_images_version_1
9, ,209.0,90.0,14,31,9,0,question_13121,1,1,,question_images_version_1
10,c,223.0,90.0,14,31,10,0,question_13121,2,2,consecința,question_images_version_1
11,o,237.0,90.0,14,31,11,0,question_13121,2,2,consecința,question_images_version_1
12,n,251.0,90.0,14,31,12,0,question_13121,2,2,consecința,question_images_version_1
13,s,265.0,90.0,14,31,13,0,question_13121,2,2,consecința,question_images_version_1
14,e,279.0,90.0,14,31,14,0,question_13121,2,2,consecința,question_images_version_1
15,c,293.0,90.0,14,31,15,0,question_13121,2,2,consecința,question_images_version_1
16,i,307.0,90.0,14,31,16,0,question_13121,2,2,consecința,question_images_version_1
17,n,321.0,90.0,14,31,17,0,question_13121,2,2,consecința,question_images_version_1
18,ț,335.0,90.0,14,31,18,0,question_13121,2,2,consecința,question_images_version_1
19,a,349.0,90.0,14,31,19,0,question_13121,2,2,consecința,question_images_version_1
20, ,363.0,90.0,14,31,20,0,question_13121,2,2,,question_images_version_1
21,b,377.0,90.0,14,31,21,0,question_13121,3,3,blocajului,question_images_version_1
22,l,391.0,90.0,14,31,22,0,question_13121,3,3,blocajului,question_images_version_1
23,o,405.0,90.0,14,31,23,0,question_13121,3,3,blocajului,question_images_version_1
24,c,419.0,90.0,14,31,24,0,question_13121,3,3,blocajului,question_images_version_1
25,a,433.0,90.0,14,31,25,0,question_13121,3,3,blocajului,question_images_version_1
26,j,447.0,90.0,14,31,26,0,question_13121,3,3,blocajului,question_images_version_1
27,u,461.0,90.0,14,31,27,0,question_13121,3,3,blocajului,question_images_version_1
28,l,475.0,90.0,14,31,28,0,question_13121,3,3,blocajului,question_images_version_1
29,u,489.0,90.0,14,31,29,0,question_13121,3,3,blocajului,question_images_version_1
30,i,503.0,90.0,14,31,30,0,question_13121,3,3,blocajului,question_images_version_1
31, ,517.0,90.0,14,31,31,0,question_13121,3,3,,question_images_version_1
32,m,531.0,90.0,14,31,32,0,question_13121,4,4,mareic,question_images_version_1
33,a,545.0,90.0,14,31,33,0,question_13121,4,4,mareic,question_images_version_1
34,r,559.0,90.0,14,31,34,0,question_13121,4,4,mareic,question_images_version_1
35,e,573.0,90.0,14,31,35,0,question_13121,4,4,mareic,question_images_version_1
36,i,587.0,90.0,14,31,36,0,question_13121,4,4,mareic,question_images_version_1
37,c,601.0,90.0,14,31,37,0,question_13121,4,4,mareic,question_images_version_1
38, ,615.0,90.0,14,31,38,0,question_13121,4,4,,question_images_version_1
39,d,629.0,90.0,14,31,39,0,question_13121,5,5,dintre,question_images_version_1
40,i,643.0,90.0,14,31,40,0,question_13121,5,5,dintre,question_images_version_1
41,n,657.0,90.0,14,31,41,0,question_13121,5,5,dintre,question_images_version_1
42,t,671.0,90.0,14,31,42,0,question_13121,5,5,dintre,question_images_version_1
43,r,685.0,90.0,14,31,43,0,question_13121,5,5,dintre,question_images_version_1
44,e,699.0,90.0,14,31,44,0,question_13121,5,5,dintre,question_images_version_1
45, ,713.0,90.0,14,31,45,0,question_13121,5,5,,question_images_version_1
46,L,727.0,90.0,14,31,46,0,question_13121,6,6,Lună,question_images_version_1
47,u,741.0,90.0,14,31,47,0,question_13121,6,6,Lună,question_images_version_1
48,n,755.0,90.0,14,31,48,0,question_13121,6,6,Lună,question_images_version_1
49,ă,769.0,90.0,14,31,49,0,question_13121,6,6,Lună,question_images_version_1
50, ,783.0,90.0,14,31,50,0,question_13121,6,6,,question_images_version_1
51,ș,797.0,90.0,14,31,51,0,question_13121,7,7,și,question_images_version_1
52,i,811.0,90.0,14,31,52,0,question_13121,7,7,și,question_images_version_1
53, ,825.0,90.0,14,31,53,0,question_13121,7,7,,question_images_version_1
54,P,839.0,90.0,14,31,54,0,question_13121,8,8,Pământ?,question_images_version_1
55,ă,853.0,90.0,14,31,55,0,question_13121,8,8,Pământ?,question_images_version_1
56,m,867.0,90.0,14,31,56,0,question_13121,8,8,Pământ?,question_images_version_1
57,â,881.0,90.0,14,31,57,0,question_13121,8,8,Pământ?,question_images_version_1
58,n,895.0,90.0,14,31,58,0,question_13121,8,8,Pământ?,question_images_version_1
59,t,909.0,90.0,14,31,59,0,question_13121,8,8,Pământ?,question_images_version_1
60,?,923.0,90.0,14,31,60,0,question_13121,8,8,Pământ?,question_images_version_1
0,L,83.0,443.52,14,31,0,0,Enc_WikiMoon_13_question_13121_target,0,0,Luna,question_images_version_1
1,u,97.0,443.52,14,31,1,0,Enc_WikiMoon_13_question_13121_target,0,0,Luna,question_images_version_1
2,n,111.0,443.52,14,31,2,0,Enc_WikiMoon_13_question_13121_target,0,0,Luna,question_images_version_1
3,a,125.0,443.52,14,31,3,0,Enc_WikiMoon_13_question_13121_target,0,0,Luna,question_images_version_1
4, ,139.0,443.52,14,31,4,0,Enc_WikiMoon_13_question_13121_target,0,0,,question_images_version_1
5,a,153.0,443.52,14,31,5,0,Enc_WikiMoon_13_question_13121_target,1,1,are,question_images_version_1
6,r,167.0,443.52,14,31,6,0,Enc_WikiMoon_13_question_13121_target,1,1,are,question_images_version_1
7,e,181.0,443.52,14,31,7,0,Enc_WikiMoon_13_question_13121_target,1,1,are,question_images_version_1
8, ,195.0,443.52,14,31,8,0,Enc_WikiMoon_13_question_13121_target,1,1,,question_images_version_1
9,o,209.0,443.52,14,31,9,0,Enc_WikiMoon_13_question_13121_target,2,2,o,question_images_version_1
10, ,223.0,443.52,14,31,10,0,Enc_WikiMoon_13_question_13121_target,2,2,,question_images_version_1
11,p,237.0,443.52,14,31,11,0,Enc_WikiMoon_13_question_13121_target,3,3,perioadă,question_images_version_1
12,e,251.0,443.52,14,31,12,0,Enc_WikiMoon_13_question_13121_target,3,3,perioadă,question_images_version_1
13,r,265.0,443.52,14,31,13,0,Enc_WikiMoon_13_question_13121_target,3,3,perioadă,question_images_version_1
14,i,279.0,443.52,14,31,14,0,Enc_WikiMoon_13_question_13121_target,3,3,perioadă,question_images_version_1
15,o,293.0,443.52,14,31,15,0,Enc_WikiMoon_13_question_13121_target,3,3,perioadă,question_images_version_1
16,a,307.0,443.52,14,31,16,0,Enc_WikiMoon_13_question_13121_target,3,3,perioadă,question_images_version_1
17,d,321.0,443.52,14,31,17,0,Enc_WikiMoon_13_question_13121_target,3,3,perioadă,question_images_version_1
18,ă,335.0,443.52,14,31,18,0,Enc_WikiMoon_13_question_13121_target,3,3,perioadă,question_images_version_1
19, ,349.0,443.52,14,31,19,0,Enc_WikiMoon_13_question_13121_target,3,3,,question_images_version_1
20,d,363.0,443.52,14,31,20,0,Enc_WikiMoon_13_question_13121_target,4,4,de,question_images_version_1
21,e,377.0,443.52,14,31,21,0,Enc_WikiMoon_13_question_13121_target,4,4,de,question_images_version_1
22, ,391.0,443.52,14,31,22,0,Enc_WikiMoon_13_question_13121_target,4,4,,question_images_version_1
23,r,405.0,443.52,14,31,23,0,Enc_WikiMoon_13_question_13121_target,5,5,rotație,question_images_version_1
24,o,419.0,443.52,14,31,24,0,Enc_WikiMoon_13_question_13121_target,5,5,rotație,question_images_version_1
25,t,433.0,443.52,14,31,25,0,Enc_WikiMoon_13_question_13121_target,5,5,rotație,question_images_version_1
26,a,447.0,443.52,14,31,26,0,Enc_WikiMoon_13_question_13121_target,5,5,rotație,question_images_version_1
27,ț,461.0,443.52,14,31,27,0,Enc_WikiMoon_13_question_13121_target,5,5,rotație,question_images_version_1
28,i,475.0,443.52,14,31,28,0,Enc_WikiMoon_13_question_13121_target,5,5,rotație,question_images_version_1
29,e,489.0,443.52,14,31,29,0,Enc_WikiMoon_13_question_13121_target,5,5,rotație,question_images_version_1
30, ,503.0,443.52,14,31,30,0,Enc_WikiMoon_13_question_13121_target,5,5,,question_images_version_1
31,e,517.0,443.52,14,31,31,0,Enc_WikiMoon_13_question_13121_target,6,6,egală,question_images_version_1
32,g,531.0,443.52,14,31,32,0,Enc_WikiMoon_13_question_13121_target,6,6,egală,question_images_version_1
33,a,545.0,443.52,14,31,33,0,Enc_WikiMoon_13_question_13121_target,6,6,egală,question_images_version_1
34,l,559.0,443.52,14,31,34,0,Enc_WikiMoon_13_question_13121_target,6,6,egală,question_images_version_1
35,ă,573.0,443.52,14,31,35,0,Enc_WikiMoon_13_question_13121_target,6,6,egală,question_images_version_1
36, ,587.0,443.52,14,31,36,0,Enc_WikiMoon_13_question_13121_target,6,6,,question_images_version_1
37,c,601.0,443.52,14,31,37,0,Enc_WikiMoon_13_question_13121_target,7,7,cu,question_images_version_1
38,u,615.0,443.52,14,31,38,0,Enc_WikiMoon_13_question_13121_target,7,7,cu,question_images_version_1
39,t,83.0,533.42,14,31,0,1,Enc_WikiMoon_13_question_13121_target,8,0,timpul,question_images_version_1
40,i,97.0,533.42,14,31,1,1,Enc_WikiMoon_13_question_13121_target,8,0,timpul,question_images_version_1
41,m,111.0,533.42,14,31,2,1,Enc_WikiMoon_13_question_13121_target,8,0,timpul,question_images_version_1
42,p,125.0,533.42,14,31,3,1,Enc_WikiMoon_13_question_13121_target,8,0,timpul,question_images_version_1
43,u,139.0,533.42,14,31,4,1,Enc_WikiMoon_13_question_13121_target,8,0,timpul,question_images_version_1
44,l,153.0,533.42,14,31,5,1,Enc_WikiMoon_13_question_13121_target,8,0,timpul,question_images_version_1
45, ,167.0,533.42,14,31,6,1,Enc_WikiMoon_13_question_13121_target,8,0,,question_images_version_1
46,n,181.0,533.42,14,31,7,1,Enc_WikiMoon_13_question_13121_target,9,1,necesar,question_images_version_1
47,e,195.0,533.42,14,31,8,1,Enc_WikiMoon_13_question_13121_target,9,1,necesar,question_images_version_1
48,c,209.0,533.42,14,31,9,1,Enc_WikiMoon_13_question_13121_target,9,1,necesar,question_images_version_1
49,e,223.0,533.42,14,31,10,1,Enc_WikiMoon_13_question_13121_target,9,1,necesar,question_images_version_1
50,s,237.0,533.42,14,31,11,1,Enc_WikiMoon_13_question_13121_target,9,1,necesar,question_images_version_1
51,a,251.0,533.42,14,31,12,1,Enc_WikiMoon_13_question_13121_target,9,1,necesar,question_images_version_1
52,r,265.0,533.42,14,31,13,1,Enc_WikiMoon_13_question_13121_target,9,1,necesar,question_images_version_1
53, ,279.0,533.42,14,31,14,1,Enc_WikiMoon_13_question_13121_target,9,1,,question_images_version_1
54,p,293.0,533.42,14,31,15,1,Enc_WikiMoon_13_question_13121_target,10,2,pentru,question_images_version_1
55,e,307.0,533.42,14,31,16,1,Enc_WikiMoon_13_question_13121_target,10,2,pentru,question_images_version_1
56,n,321.0,533.42,14,31,17,1,Enc_WikiMoon_13_question_13121_target,10,2,pentru,question_images_version_1
57,t,335.0,533.42,14,31,18,1,Enc_WikiMoon_13_question_13121_target,10,2,pentru,question_images_version_1
58,r,349.0,533.42,14,31,19,1,Enc_WikiMoon_13_question_13121_target,10,2,pentru,question_images_version_1
59,u,363.0,533.42,14,31,20,1,Enc_WikiMoon_13_question_13121_target,10,2,pentru,question_images_version_1
60, ,377.0,533.42,14,31,21,1,Enc_WikiMoon_13_question_13121_target,10,2,,question_images_version_1
61,a,391.0,533.42,14,31,22,1,Enc_WikiMoon_13_question_13121_target,11,3,a,question_images_version_1
62, ,405.0,533.42,14,31,23,1,Enc_WikiMoon_13_question_13121_target,11,3,,question_images_version_1
63,o,419.0,533.42,14,31,24,1,Enc_WikiMoon_13_question_13121_target,12,4,orbita,question_images_version_1
64,r,433.0,533.42,14,31,25,1,Enc_WikiMoon_13_question_13121_target,12,4,orbita,question_images_version_1
65,b,447.0,533.42,14,31,26,1,Enc_WikiMoon_13_question_13121_target,12,4,orbita,question_images_version_1
66,i,461.0,533.42,14,31,27,1,Enc_WikiMoon_13_question_13121_target,12,4,orbita,question_images_version_1
67,t,475.0,533.42,14,31,28,1,Enc_WikiMoon_13_question_13121_target,12,4,orbita,question_images_version_1
68,a,489.0,533.42,14,31,29,1,Enc_WikiMoon_13_question_13121_target,12,4,orbita,question_images_version_1
69, ,503.0,533.42,14,31,30,1,Enc_WikiMoon_13_question_13121_target,12,4,,question_images_version_1
70,î,517.0,533.42,14,31,31,1,Enc_WikiMoon_13_question_13121_target,13,5,în,question_images_version_1
